Wavelength,Flux,BestFit,SkyFlux
4514.399,53.356,58.900,6.393
4515.440,56.211,58.952,5.406
4516.478,54.804,57.310,5.586
4517.520,53.367,58.676,6.006
4518.559,55.179,58.159,6.061
4519.601,56.434,58.518,5.755
4520.641,56.021,58.422,5.686
4521.681,53.471,56.381,6.053
4522.724,54.323,56.056,6.431
4523.764,56.335,55.322,6.314
4524.807,53.042,53.959,6.319
4525.848,54.724,54.016,6.010
4526.892,52.102,54.911,5.365
4527.933,51.378,55.651,5.734
4528.975,55.978,57.155,6.369
4530.019,52.964,57.543,6.268
4531.061,53.751,57.365,6.759
4532.106,53.413,57.011,6.762
4533.149,56.957,57.250,6.242
4534.194,57.891,57.204,6.416
4535.237,53.644,54.560,6.828
4536.280,51.998,53.497,6.917
4537.327,54.475,54.693,6.746
4538.370,53.432,56.354,6.789
4539.417,53.613,57.637,6.985
4540.461,56.997,58.514,6.754
4541.508,56.793,58.816,6.879
4542.553,57.054,58.862,7.762
4543.598,56.477,58.877,7.400
4544.646,57.840,57.080,7.110
4545.691,52.817,54.186,7.636
4546.739,47.588,52.823,8.169
4547.785,54.606,53.564,7.153
4548.834,51.518,51.212,6.885
4549.881,50.745,53.370,7.282
4550.927,52.862,54.159,6.422
4551.977,49.678,53.725,6.698
4553.024,49.711,55.550,7.443
4554.074,53.918,57.719,7.111
4555.121,55.609,59.103,6.486
4556.172,55.441,56.426,6.638
4557.220,53.872,55.464,6.595
4558.268,52.544,56.421,6.359
4559.319,54.524,56.105,6.613
4560.368,55.300,55.162,6.554
4561.420,54.923,55.758,6.348
4562.469,55.338,56.289,5.891
4563.521,50.726,55.803,5.754
4564.571,55.534,55.359,5.660
4565.621,51.837,55.050,5.692
4566.674,51.178,52.964,6.089
4567.725,49.823,52.108,6.043
4568.778,50.222,50.511,6.448
4569.829,50.470,50.870,6.246
4570.883,50.606,53.267,5.835
4571.934,50.757,54.626,6.055
4572.989,51.924,53.311,6.143
4574.041,53.615,54.719,5.788
4575.093,52.179,54.950,5.468
4576.148,50.974,53.011,5.296
4577.201,50.703,50.640,5.554
4578.256,45.885,49.953,6.221
