Wavelength,Flux,BestFit,SkyFlux
4567.725,40.828,45.431,10.145
4568.778,45.487,45.850,10.601
4569.829,41.028,45.182,10.395
4570.883,43.974,44.532,9.972
4571.934,39.799,43.863,9.851
4572.989,42.352,44.175,9.790
4574.041,38.609,44.370,10.200
4575.093,42.005,44.100,10.526
4576.148,39.712,43.925,10.506
4577.201,37.729,42.342,10.542
4578.256,37.990,39.078,10.837
4579.309,35.413,40.068,11.427
4580.365,39.780,41.925,12.047
4581.419,39.899,41.672,12.260
4582.473,36.232,41.299,12.054
4583.530,39.064,42.023,11.587
4584.584,36.525,41.456,11.487
4585.641,38.260,42.918,11.580
4586.696,39.130,42.940,11.245
4587.754,38.942,42.294,10.880
4588.809,39.448,44.906,11.049
4589.865,39.716,44.082,11.638
4590.923,39.613,42.973,11.468
4591.980,38.773,44.456,10.676
4593.038,36.190,44.164,10.756
4594.095,38.449,41.911,10.972
4595.154,40.696,42.435,10.586
4596.212,39.875,43.708,9.730
4597.269,40.733,43.794,9.705
4598.329,41.611,44.224,10.316
4599.387,41.580,44.589,10.431
